"","YPLLRate","HealthBadDaysMentAvg","HospPrevRate","Income20thpcntl","InjuryDeathRate","LBWPct","LifeExpect","MammAnnualPct","PhysInactPct","SmokersPct","UnemployedPct","UninsAdultPct","VaccinatedPct"
"1",8128.5911903,4.6540313965,7108,21019,68.526994226,8.6195286195,76.879477172,41,34.7,18.08155718,3.6290788612,11.14898915,41
"2",7354.1225298,4.3040564688,4041,25227,72.385053972,8.3450031827,78.450258368,43,26.5,17.489032597,3.6153821564,14.348524769,44
"3",10253.573403,5.1855944125,6209,13475,70.274611559,11.474558671,75.34193493,45,23.5,21.999984528,5.1713842112,16.08583414,37
"4",11977.539484,4.5516988486,5961,20134,108.15602837,10.308710033,73.571820279,40,33.5,19.114199885,3.9718277335,13,38
"5",11335.071134,4.8914546677,4060,20699,107.2853687,7.6045627376,74.145825897,34,30.3,19.20867197,3.5111573222,17.082341882,39
"6",11679.558981,4.8913510426,6632,9337,107.13807419,15.688487585,73.530894789,35,24.6,22.894664011,4.6901172529,15.240963855,28
"7",14359.939103,5.340750195,9203,14757,100.0470221,12.680288462,72.918309203,42,39.5,21.765334963,4.7902176352,14.505765338,35
"8",12078.616145,4.8160722877,6581,18078,89.541547278,9.1613736678,73.039108585,32,31.7,20.612560375,4.6528321587,15.388687124,38
"9",11112.536614,4.8735807661,5622,17019,81.478420027,12.213740458,74.291076031,38,30.1,19.392927053,3.9080911233,15.226316844,42
"10",12349.707594,4.7112704225,5521,17401,108.87190178,8.2725060827,73.998833761,36,31.3,17.498673785,3.5708139735,13.940332682,41
"11",10019.3128,4.8532441372,6148,17684,94.075942464,8.6979166667,74.926750554,39,33.2,20.188979064,3.6095707537,17.504683975,42
"13",11144.037371,5.0837367294,6299,10075,77.039708233,13.108038914,74.787459811,38,34.6,20.579655316,7.473449587,15.315508021,28
"14",10461.83432,4.9829276834,5249,16995,87.74408471,9.3561368209,75.237156152,35,32.6,19.620354153,3.9074291464,17.218458392,43
"16",8175.3623921,4.5674364995,4863,22422,66.503583804,8.3085374228,76.710348557,42,30.8,17.444757594,3.9486957775,15.286789515,37
"17",10644.992124,4.5824058974,6414,18565,77.833868747,10.226746876,74.665950403,40,36.6,18.658821061,4.61776593,12.121306087,45
"18",10822.452428,5.3914879643,12070,14363,94.425683786,14.064115822,75.25023311,35,40.7,21.107512965,5.2291944815,15.334374556,44
"20",11418.122816,4.9065509126,9181,17115,80.625784233,10.345942451,73.994503819,42,35.5,19.249451541,4.5783441122,15.291560344,39
