"","State","Region","FIPS.x","Deaths","Years of Potential Life Lost Rate","% Fair or Poor Health","Average Number of Physically Unhealthy Days","Average Number of Mentally Unhealthy Days","% Low Birthweight","% Smokers","% Adults with Obesity","Food Environment Index","% Physically Inactive","% With Access to Exercise Opportunities","% Excessive Drinking","% Driving Deaths with Alcohol Involvement","Chlamydia Rate","Teen Birth Rate","% Uninsured","Primary Care Physicians Rate","Primary Care Physicians Ratio","Dentist Rate","Dentist Ratio","Mental Health Provider Rate","Mental Health Provider Ratio","Preventable Hospitalization Rate","% With Annual Mammogram","% Vaccinated","Cohort Size","High School Graduation Rate","Population.x","% Some College","Labor Force","% Unemployed","% Children in Poverty","80th Percentile Income","20th Percentile Income","Income Ratio","% Single-Parent Households","Social Association Rate","Annual Average Violent Crimes","Violent Crime Rate","Injury Death Rate","Average Daily PM2.5","Presence of Water Violation","% Severe Housing Problems","Severe Housing Cost Burden","Overcrowding","Inadequate Facilities","% Drive Alone to Work","% Long Commute - Drives Alone","FIPS.y","Life Expectancy","Age-Adjusted Death Rate","Child Mortality Rate","Infant Mortality Rate","% Frequent Physical Distress","% Frequent Mental Distress","% Adults with Diabetes","HIV Prevalence Rate","% Food Insecure","% Limited Access to Healthy Foods","Drug Overdose Mortality Rate","Motor Vehicle Mortality Rate","% Insufficient Sleep","% Uninsured...136","% Uninsured...140","Other Primary Care Provider Rate","Other Primary Care Provider Ratio","% Disconnected Youth","Average Grade Performance...148","Average Grade Performance...153","Median Household Income","% Enrolled in Free or Reduced Lunch","Segregation index","Segregation Index","Homicide Rate","Suicide Rate (Age-Adjusted)","Crude Rate","Firearm Fatalities Rate","Non-Petitioned Cases","Petitioned Cases","Denominator","Juvenile Arrest Rate","Average Traffic Volume per Meter of Major Roadways","% Homeowners","% Severe Housing Cost Burden","Population.y","% less than 18 years of age","% 65 and over","% American Indian & Alaska Native","% Native Hawaiian/Other Pacific Islander","% Not Proficient in English","% Female","% Rural"
"1","Alabama","Autauga","01001",791,8128.5911903,20.882987328,4.7438888672,4.6540313965,8.6195286195,18.08155718,33.3,7.2,34.7,69.130124059,15.026031257,26.785714286,407.2,25.284927164,8.7216859511,45.0418,"2220:1",32.37352,"3089:1",23.38087,"4277:1",7108,41,41,660,90,14438,62.009973681,25957,3.6290788612,19.3,110026,21019,5.2345972691,26.242679081,12.071202076,148.5,272.28222006,68.526994226,11.7,"No",14.663461538,12.826718296,1.2019230769,1.3461538462,86.523661372,39.6,"01001",76.879477172,417.54755051,55.922156358,7.9401088929,13.685228616,14.129346649,11.1,219.1,13.2,11.991125,10.809447457,19.328751131,35.905406064,11.14898915,2.6691540504,39.56763,"2527:1",NA,2.9595862779,2.8026991866,59338,43.408673083,24.619137861,23.628395199,4.8966169531,18.145295478,19.115424705,16.23007758,"9","59",6400,10.625,88.457040416,74.894624674,13.403481168,55601,23.67403464,15.562669736,0.4802071905,0.1115087858,0.8202245028,51.448714951,42.002162321
"2","Alabama","Baldwin","01003",2967,7354.1225298,17.50913436,4.2245192015,4.3040564688,8.3450031827,17.489032597,31,8,26.5,73.713548953,17.958310103,30.769230769,325,27.88069221,11.333404467,72.89727,"1372:1",49.53629,"2019:1",96.32055,"1038:1",4041,43,44,2207,86.361576801,48703,67.371619818,93849,3.6153821564,13.9,111447,25227,4.4177666786,24.139601453,10.205617322,408,203.66039629,72.385053972,10.3,"No",13.566200931,12.277388019,1.2707917498,0.4790419162,84.282432728,41.7,"01003",78.450258368,353.34311052,47.381749857,5.5467006694,12.480107671,13.475335559,10.7,166.5,11.6,5.424426597,13.610486645,15.811238992,33.305868141,14.348524769,3.538763291,55.95766,"1787:1",8.4767945233,3.0056417476,2.8606962275,57588,48.486564722,41.271762768,31.825343231,3.0083330826,19.377510546,19.84596844,14.09351382,"131","440",21800,26.19266055,86.997429882,73.619343186,11.725807954,218022,21.607911128,20.443349754,0.7723991157,0.0669657191,0.5435169824,51.538376861,42.279099114
"3","Alabama","Barbour","01005",472,10253.573403,29.591801708,5.4302788594,5.1855944125,11.474558671,21.999984528,41.7,5.6,23.5,53.166769858,12.844015554,40,716.3,40.870815362,12.242792457,31.65809,"3159:1",36.17218,"2765:1",8.03826,"12441:1",6209,45,37,312,81.41025641,6779,34.857648621,8373,5.1713842112,43.9,76557,13475,5.6814100186,56.603426045,7.5187969925,105.5,414.27786068,70.274611559,11.5,"No",14.583333333,13.445945946,1.6885964912,0.6030701754,83.368470368,32.2,"01005",75.34193493,497.35006209,74.225273706,NA,17.184897504,16.586252209,17.6,420.6,22,10.739666573,NA,22.854779642,38.563167125,16.08583414,2.9135338346,52.2487,"1914:1",13.339301701,2.660388191,2.4432710052,34382,63.292302039,25.039132349,23.449712509,7.6182598806,12.836103622,13.900472616,17.761715009,"0","36",2400,15,102.29176221,61.397779229,14.059546314,24881,20.867328484,19.420441301,0.6591374945,0.1848800289,1.6316825189,47.216751738,67.789634702
"4","Alabama","Bibb","01007",471,11977.539484,19.439724157,4.5914824378,4.5516988486,10.308710033,19.114199885,37.6,7.8,33.5,16.251363736,15.570042367,27.586206897,339.7,41.696794408,10.206252586,48.52656,"2061:1",22.32143,"4480:1",22.32143,"4480:1",5961,40,38,271,83.763837638,5970,44.137353434,8661,3.9718277335,27.8,87957,20134,4.3685805106,28.689236111,8.3818598906,19.5,89.349125982,108.15602837,11.2,"No",10.496453901,9.9782766112,0.2553191489,0.7092198582,84.910646866,49.8,"01007",73.571820279,589.04111681,85.8000858,12.244897959,13.626575493,14.017536353,14.5,196.8,14.3,2.6016270077,28.060433312,25.964321223,38.1488654,13,2.6178010471,111.60714,"896:1",NA,2.628688251,2.3813078544,46064,61.562115621,52.60379424,52.600205502,8.2325896561,20.858766218,20.390070922,23.936170213,"1-4","83",2200,NA,29.335580011,75.073099415,9.886874322,22400,20.477678571,16.473214286,0.4375,0.1160714286,0.2682100508,46.78125,68.352607462
"5","Alabama","Blount","01009",1085,11335.071134,21.745292814,4.8608076303,4.8914546677,7.6045627376,19.20867197,33.8,8.4,30.3,15.634485887,14.230593827,19.444444444,234.4,33.5345953,13.360759494,22.40877,"4463:1",19.01798,"5258:1",15.56017,"6427:1",4060,34,39,689,93.468795356,13939,53.361073248,25006,3.5111573222,18,91702,20699,4.4302623315,28.561827957,8.4463827073,279,482.69061089,107.2853687,11.7,"No",10.548011639,7.851445663,1.8913676043,1.0911736178,86.17836202,59.4,"01009",74.145825897,515.61182276,83.798882682,6.8419927304,14.523164345,14.859270834,17,99.8,10.7,2.8801498232,24.199542513,28.666961574,35.945010419,17.082341882,4.0772837051,22.4758,"4449:1",18.941594063,3.0254073651,2.8493388978,50412,52.90628707,48.214822884,17.694494741,6.4253534562,17.062627954,17.304091726,20.072746402,"7","40",6300,7.4603174603,33.411781963,78.626213592,8.4622572942,57840,23.153526971,18.236514523,0.653526971,0.1210235131,1.7245199409,50.726141079,89.951502041
"6","Alabama","Bullock","01011",203,11679.558981,30.999101851,5.3591593432,4.8913510426,15.688487585,22.894664011,37.2,4.3,24.6,2.5013743815,12.094101229,60,863.3,47.916666667,11.440376122,29.10079,"3436:1",19.72776,"5069:1",19.72776,"5069:1",6632,35,28,121,70.247933884,2719,34.976094152,4776,4.6901172529,68.3,69189,9337,7.4101959944,74.789915966,7.7602095257,33,311.0273327,107.13807419,11.2,"No",18.143459916,15.210449927,0.1125175809,3.094233474,79.060913706,46,"01011",73.530894789,562.24752995,149.61445506,NA,16.880968518,15.85477602,23.7,632.9,24.8,19.743350741,NA,47.695620179,45.020635869,15.240963855,2.2854477612,88.77491,"1126:1",NA,2.485916346,2.1548306495,29267,75.786593707,31.846481475,30.618760426,NA,NA,NA,21.044978859,"0","16",900,17.777777778,4.0665381995,75.53338875,18.501529052,10138,21.079108305,16.38390215,0.8384296705,0.7496547643,0.4407544075,45.482343658,51.374381528
"7","Alabama","Butler","01013",423,14359.939103,27.910673184,5.4008061965,5.340750195,12.680288462,21.765334963,43.3,6.6,39.5,48.57974889,11.85740343,27.450980392,761.7,37.886100386,11.186009539,25.22068,"3965:1",30.4878,"3280:1",50.81301,"1968:1",9203,42,35,239,81.589958159,4825,41.678756477,8914,4.7902176352,36.3,80036,14757,5.4235955818,52.712836348,9.079445145,116.5,581.58400519,100.0470221,10.6,"Yes",13.159609121,11.692307692,1.6938110749,0.3908794788,83.833183164,32.3,"01013",72.918309203,609.16970743,98.19431564,NA,16.696707392,16.915363871,19.2,311,20.6,2.9261219306,NA,29.887920299,41.911083901,14.505765338,2.6594594595,71.13821,"1406:1",NA,2.74187666,2.6480209874,37365,79.15713819,38.011215614,37.511848048,19.213663049,9.2341684139,10.00470221,24.011285304,"0","5",2100,2.380952381,19.311067904,69.946332737,11.545956479,19680,22.245934959,20.299796748,0.3760162602,0.0508130081,0.4941551541,53.429878049,71.23215735
"8","Alabama","Calhoun","01015",2373,12078.616145,23.107733221,4.8803767403,4.8160722877,9.1613736678,20.612560375,38.5,6.9,31.7,47.721215801,13.842230147,18.75,654.6,33.534616991,11.929167524,63.62876,"1572:1",58.62947,"1706:1",115.50881,"866:1",6581,32,38,1402,92.368045649,28862,59.243988636,45972,4.6528321587,26.5,90822,18078,5.0238964487,40.191944746,14.469004951,871,756.06654427,89.541547278,11.8,"No",13.734191258,11.824932493,1.5420457067,0.8431329044,84.809213736,31.2,"01015",73.039108585,574.56384163,65.813090822,8.0260303688,14.75440129,15.191507387,17.5,226.3,15.7,9.178566583,18.334419817,19.278680745,41.314343982,15.388687124,2.4385508484,56.00427,"1786:1",6.6911529863,3.0776438043,2.9464543432,45400,58.837593215,44.542304124,40.68118287,9.7629216594,19.843747846,20.516315687,26.427796478,"193","243",11700,37.264957265,109.89916308,69.473497213,11.722432218,114277,21.609772745,17.717475958,0.5399161686,0.1102584072,0.9913761333,51.946585927,33.696825557
"9","Alabama","Chambers","01017",654,11112.536614,23.995473603,4.9411783568,4.8735807661,12.213740458,19.392927053,40.1,6.4,30.1,61.864679234,12.745734617,28.571428571,611,45.441001192,11.938076809,41.52701,"2408:1",17.84917,"5603:1",5.94972,"16808:1",5622,38,42,327,86.23853211,7664,48.460334029,15276,3.9080911233,30.7,80754,17019,4.7449321347,46.555443693,17.79728888,180.5,528.99973623,81.478420027,11.4,"No",15.9566787,12.377079482,4.036101083,0.9386281588,85.252848013,31.8,"01017",74.291076031,511.62651724,87.568741462,8.1061164333,15.247787308,15.49667308,19.9,387.7,17.9,10.328558281,9.8842553696,23.148537854,37.266574787,15.226316844,2.5387676685,14.87431,"6723:1",11.550733886,2.6140025704,2.3730307231,39917,71.121351767,26.747861297,25.672844447,10.522062661,20.818126034,21.255240007,21.255240007,"1-4","81",3100,NA,20.271586909,67.7641314,12.381027919,33615,20.800237989,19.521047152,0.3064108285,0.0446229362,0.1129376333,52.125539194,49.148034488
"10","Alabama","Cherokee","01019",568,12349.707594,20.698470599,4.7756141014,4.7112704225,8.2725060827,17.498673785,35,8.3,31.3,33.429527877,14.106562852,19.607843137,321,36.568760941,11.172649917,38.67425,"2586:1",15.3657,"6508:1",19.20713,"5206:1",5521,36,41,314,94.904458599,5446,51.836210062,11622,3.5708139735,24.7,81932,17401,4.7084650307,23.778749287,8.5083343002,86,330.43879198,108.87190178,11.4,"No",13,11.152073733,1.5,0.5,83.114465929,46.1,"01019",73.998833761,545.23369024,63.722366551,NA,14.36571083,14.677941447,15.2,116.9,12.5,0.2211124003,12.884273456,36.316814685,35.35507081,13.940332682,3.1390977444,80.66994,"1240:1",NA,3.0096112116,2.7052830641,42132,61.606243706,32.057709232,29.493789431,8.8040762873,23.823688351,23.164234422,27.024940159,"1-4","55",2500,NA,25.908887044,78.955308316,9.945695897,26032,19.168715427,22.971727105,0.6607252612,0.0307314075,0.4016390117,50.460971112,85.736273039
