"","FIPS","State","Region","County","Deaths","Years of Potential Life Lost Rate","YPLL Rate (AIAN)","YPLL Rate (Asian)","YPLL Rate (Black)","YPLL Rate (Hispanic)","YPLL Rate (White)","% Fair or Poor Health","Average Number of Physically Unhealthy Days","Average Number of Mentally Unhealthy Days","Unreliable","% Low Birthweight","% LBW (AIAN)","% LBW (Asian)","% LBW (Black)","% LBW (Hispanic)","% LBW (White)","% Smokers","% Adults with Obesity","Food Environment Index","% Physically Inactive","% With Access to Exercise Opportunities","% Excessive Drinking","# Alcohol-Impaired Driving Deaths","# Driving Deaths","% Driving Deaths with Alcohol Involvement","# Chlamydia Cases","Chlamydia Rate","Teen Birth Rate","Teen Birth Rate (AIAN)","Teen Birth Rate (Asian)","Teen Birth Rate (Black)","Teen Birth Rate (Hispanic)","Teen Birth Rate (White)","# Uninsured","% Uninsured","# Primary Care Physicians","Primary Care Physicians Rate","Primary Care Physicians Ratio","# Dentists","Dentist Rate","Dentist Ratio","# Mental Health Providers","Mental Health Provider Rate","Mental Health Provider Ratio","Preventable Hospitalization Rate","Preventable Hosp. Rate (AIAN)","Preventable Hosp. Rate (Asian)","Preventable Hosp. Rate (Black)","Preventable Hosp. Rate (Hispanic)","Preventable Hosp. Rate (White)","% With Annual Mammogram","% Screened (AIAN)","% Screened (Asian)","% Screened (Black)","% Screened (Hispanic)","% Screened (White)","% Vaccinated","% Vaccinated (AIAN)","% Vaccinated (Asian)","% Vaccinated (Black)","% Vaccinated (Hispanic)","% Vaccinated (White)","Cohort Size","High School Graduation Rate","# Some College","Population","% Some College","# Unemployed","Labor Force","% Unemployed","% Children in Poverty","% Children in Poverty (AIAN)","% Children in Poverty (Asian)","% Children in Poverty (Black)","% Children in Poverty (Hispanic)","% Children in Poverty (White)","80th Percentile Income","20th Percentile Income","Income Ratio","# Single-Parent Households","# Households","% Single-Parent Households","# Associations","Social Association Rate","Annual Average Violent Crimes","Violent Crime Rate","# Injury Deaths","Injury Death Rate","Injury Death Rate (AIAN)","Injury Death Rate (Asian)","Injury Death Rate (Black)","Injury Death Rate (Hispanic)","Injury Death Rate (White)","Average Daily PM2.5","Presence of Water Violation","% Severe Housing Problems","Severe Housing Cost Burden","Overcrowding","Inadequate Facilities","% Drive Alone to Work","% Drive Alone (AIAN)","% Drive Alone (Asian)","% Drive Alone (Black)","% Drive Alone (Hispanic)","% Drive Alone (White)","# Workers who Drive Alone","% Long Commute - Drives Alone"
"1","01000","Alabama","",NA,81791,9942.7946665,NA,NA,NA,NA,NA,22.028702851,4.9180517148,4.9397529418,NA,10.254870596,NA,NA,NA,NA,NA,20.927353108,35.5,5.8,29.8,61.112287373,13.903515291,1284,4654,27.589170606,29935,614.1,30.894616445,NA,NA,NA,NA,NA,438049,11.044782592,3160,64.82388,"1543:1",2355,48.18049,"2076:1",4948,101.23017,"988:1",5805,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,54917,89.3,744300,1232042,60.411901542,86493,2198844,3.9335669106,23.9,NA,NA,NA,NA,NA,99688,18948,5.2611357399,406913,1089671,37.34273923,6031,12.371924122,23306.5,479.91918191,20015,82.250245066,NA,NA,NA,NA,NA,11,NA,14.340702084,NA,NA,NA,85.79474468,NA,NA,NA,NA,NA,2051445,34.3
"2","01001","Alabama","Autauga","Autauga",791,8128.5911903,NA,NA,10201.38993,NA,7885.6653695,20.882987328,4.7438888672,4.6540313965,NA,8.6195286195,NA,NA,13.505154639,NA,7.2894333844,18.08155718,33.3,7.2,34.7,69.130124059,15.026031257,15,56,26.785714286,226,407.2,25.284927164,NA,NA,31.380753138,NA,24.315488353,4093,8.7216859511,25,45.0418,"2220:1",18,32.37352,"3089:1",13,23.38087,"4277:1",7108,NA,NA,8464,NA,6877,41,NA,NA,36,36,42,41,NA,46,30,29,43,660,90,8953,14438,62.009973681,942,25957,3.6290788612,19.3,NA,6.8376068376,45.789663896,NA,17.621379898,110026,21019,5.2345972691,3495,13318,26.242679081,67,12.071202076,148.5,272.28222006,190,68.526994226,NA,NA,42.480098997,NA,77.052229045,11.7,"No",14.663461538,12.826718296,1.2019230769,1.3461538462,86.523661372,NA,NA,82.493737824,NA,84.485006519,24428,39.6
"3","01003","Alabama","Baldwin","Baldwin",2967,7354.1225298,NA,NA,9890.5052761,3570.4752645,7435.7611865,17.50913436,4.2245192015,4.3040564688,NA,8.3450031827,NA,10.9375,15.00275786,5.2188552189,7.6650563607,17.489032597,31,8,26.5,73.713548953,17.958310103,48,156,30.769230769,691,325,27.88069221,NA,NA,33.408343431,45.98195101,26.415891801,19119,11.333404467,155,72.89727,"1372:1",108,49.53629,"2019:1",210,96.32055,"1038:1",4041,NA,8863,6135,NA,3975,43,36,45,36,32,44,44,50,46,30,40,45,2207,86.361576801,32812,48703,67.371619818,3393,93849,3.6153821564,13.9,12.222222222,NA,26.866216463,25.887573964,10.599011341,111447,25227,4.4177666786,10963,45415,24.139601453,217,10.205617322,408,203.66039629,755,72.385053972,NA,NA,41.698449021,NA,80.040407864,10.3,"No",13.566200931,12.277388019,1.2707917498,0.4790419162,84.282432728,NA,NA,86.988670244,68.296994697,82.952452637,91420,41.7
"4","01005","Alabama","Barbour","Barbour",472,10253.573403,NA,NA,12422.16637,NA,8140.1741774,29.591801708,5.4302788594,5.1855944125,NA,11.474558671,NA,NA,15.427509294,NA,7.3206442167,21.999984528,41.7,5.6,23.5,53.166769858,12.844015554,12,30,40,181,716.3,40.870815362,NA,NA,42.662743656,55.04587156,37.172774869,2136,12.242792457,8,31.65809,"3159:1",9,36.17218,"2765:1",2,8.03826,"12441:1",6209,NA,NA,5733,NA,6608,45,NA,NA,45,NA,46,37,NA,NA,31,NA,40,312,81.41025641,2363,6779,34.857648621,433,8373,5.1713842112,43.9,NA,NA,65.123564219,68.721461187,16.511387164,76557,13475,5.6814100186,3073,5429,56.603426045,19,7.5187969925,105.5,414.27786068,91,70.274611559,NA,NA,72.086503805,NA,67.974202961,11.5,"No",14.583333333,13.445945946,1.6885964912,0.6030701754,83.368470368,NA,NA,81.387434555,NA,87.247855321,8538,32.2
"5","01007","Alabama","Bibb","Bibb",471,11977.539484,NA,NA,13085.045008,NA,12241.384199,19.439724157,4.5914824378,4.5516988486,NA,10.308710033,NA,NA,17.250673854,NA,8.5365853659,19.114199885,37.6,7.8,33.5,16.251363736,15.570042367,8,29,27.586206897,77,339.7,41.696794408,NA,NA,21.951219512,NA,46.144317126,1727,10.206252586,11,48.52656,"2061:1",5,22.32143,"4480:1",5,22.32143,"4480:1",5961,NA,NA,3536,NA,6163,40,NA,NA,34,NA,42,38,NA,NA,27,NA,39,271,83.763837638,2635,5970,44.137353434,344,8661,3.9718277335,27.8,NA,NA,19.75308642,11.278195489,20.648464164,87957,20134,4.3685805106,1322,4608,28.689236111,19,8.3818598906,19.5,89.349125982,122,108.15602837,NA,NA,92.820533516,NA,117.15421755,11.2,"No",10.496453901,9.9782766112,0.2553191489,0.7092198582,84.910646866,NA,NA,NA,NA,NA,7946,49.8
"6","01009","Alabama","Blount","Blount",1085,11335.071134,NA,NA,NA,NA,NA,21.745292814,4.8608076303,4.8914546677,NA,7.6045627376,NA,NA,NA,6.7901234568,7.6423576424,19.20867197,33.8,8.4,30.3,15.634485887,14.230593827,14,72,19.444444444,136,234.4,33.5345953,NA,NA,42.253521127,31.826861871,33.975856698,6333,13.360759494,13,22.40877,"4463:1",11,19.01798,"5258:1",9,15.56017,"6427:1",4060,NA,NA,NA,NA,NA,34,NA,NA,29,18,34,39,NA,NA,20,30,39,689,93.468795356,7438,13939,53.361073248,878,25006,3.5111573222,18,NA,NA,2.2099447514,50.335892514,15.844501473,91702,20699,4.4302623315,3825,13392,28.561827957,49,8.4463827073,279,482.69061089,310,107.2853687,NA,NA,NA,45.24204494,115.8188985,11.7,"No",10.548011639,7.851445663,1.8913676043,1.0911736178,86.17836202,NA,NA,NA,79.782082324,82.831001076,21148,59.4
"7","01011","Alabama","Bullock","Bullock",203,11679.558981,NA,NA,NA,NA,NA,30.999101851,5.3591593432,4.8913510426,NA,15.688487585,NA,NA,17.86259542,8.7591240876,NA,22.894664011,37.2,4.3,24.6,2.5013743815,12.094101229,15,25,60,89,863.3,47.916666667,NA,NA,NA,NA,NA,803,11.440376122,3,29.10079,"3436:1",2,19.72776,"5069:1",2,19.72776,"5069:1",6632,NA,NA,6100,NA,7455,35,NA,NA,35,NA,37,28,NA,NA,25,NA,35,121,70.247933884,951,2719,34.976094152,224,4776,4.6901172529,68.3,NA,NA,NA,NA,NA,69189,9337,7.4101959944,1602,2142,74.789915966,8,7.7602095257,33,311.0273327,56,107.13807419,NA,NA,112.69618757,NA,112.63212615,11.2,"No",18.143459916,15.210449927,0.1125175809,3.094233474,79.060913706,NA,NA,75.796460177,NA,73.763874874,3940,46
"8","01013","Alabama","Butler","Butler",423,14359.939103,NA,NA,16245.522853,NA,13002.477159,27.910673184,5.4008061965,5.340750195,NA,12.680288462,NA,NA,14.942528736,NA,10.198675497,21.765334963,43.3,6.6,39.5,48.57974889,11.85740343,14,51,27.450980392,151,761.7,37.886100386,NA,NA,36.607142857,NA,40.668523677,1759,11.186009539,5,25.22068,"3965:1",6,30.4878,"3280:1",10,50.81301,"1968:1",9203,NA,NA,9610,NA,9249,42,NA,NA,43,NA,42,35,NA,NA,29,NA,38,239,81.589958159,2011,4825,41.678756477,427,8914,4.7902176352,36.3,NA,NA,45.257337303,NA,18.442622951,80036,14757,5.4235955818,2390,4534,52.712836348,18,9.079445145,116.5,581.58400519,100,100.0470221,NA,NA,94.202085903,NA,110.26196723,10.6,"Yes",13.159609121,11.692307692,1.6938110749,0.3908794788,83.833183164,NA,NA,82.432432432,NA,88.036117381,7769,32.3
"9","01015","Alabama","Calhoun","Calhoun",2373,12078.616145,NA,NA,11372.275291,NA,12660.81444,23.107733221,4.8803767403,4.8160722877,NA,9.1613736678,NA,NA,13.697513249,6.1657032755,7.6600548299,20.612560375,38.5,6.9,31.7,47.721215801,13.842230147,18,96,18.75,751,654.6,33.534616991,NA,NA,35.238220932,37.606837607,32.833400892,11021,11.929167524,73,63.62876,"1572:1",67,58.62947,"1706:1",132,115.50881,"866:1",6581,NA,NA,9098,2252,6305,32,NA,28,34,28,32,38,NA,55,28,29,39,1402,92.368045649,17099,28862,59.243988636,2139,45972,4.6528321587,26.5,NA,14.163090129,52.811563547,23.062843197,16.087580313,90822,18078,5.0238964487,10009,24903,40.191944746,166,14.469004951,871,756.06654427,515,89.541547278,NA,NA,71.767018162,NA,98.69729044,11.8,"No",13.734191258,11.824932493,1.5420457067,0.8431329044,84.809213736,NA,NA,86.01315003,87.068381855,87.327620453,47147,31.2
"10","01017","Alabama","Chambers","Chambers",654,11112.536614,NA,NA,9587.5093109,NA,12348.555771,23.995473603,4.9411783568,4.8735807661,NA,12.213740458,NA,NA,16.680361545,NA,8.8105726872,19.392927053,40.1,6.4,30.1,61.864679234,12.745734617,10,35,28.571428571,206,611,45.441001192,NA,NA,48.448385054,NA,42.654028436,3208,11.938076809,14,41.52701,"2408:1",6,17.84917,"5603:1",2,5.94972,"16808:1",5622,NA,NA,6523,NA,5250,38,NA,NA,36,NA,39,42,NA,NA,30,NA,46,327,86.23853211,3714,7664,48.460334029,597,15276,3.9080911233,30.7,NA,NA,32.353901404,70.044052863,11.800302572,80754,17019,4.7449321347,3237,6953,46.555443693,60,17.79728888,180.5,528.99973623,138,81.478420027,NA,NA,48.802129547,NA,108.6536352,11.4,"No",15.9566787,12.377079482,4.036101083,0.9386281588,85.252848013,NA,NA,86.936236392,NA,85.967329266,14396,31.8
"11","01019","Alabama","Cherokee","Cherokee",568,12349.707594,NA,NA,NA,NA,NA,20.698470599,4.7756141014,4.7112704225,NA,8.2725060827,NA,NA,NA,NA,NA,17.498673785,35,8.3,31.3,33.429527877,14.106562852,10,51,19.607843137,83,321,36.568760941,NA,NA,31.347962382,NA,38.084874864,2219,11.172649917,10,38.67425,"2586:1",4,15.3657,"6508:1",5,19.20713,"5206:1",5521,NA,NA,1185,NA,5459,36,NA,NA,42,NA,36,41,NA,NA,29,NA,42,314,94.904458599,2823,5446,51.836210062,415,11622,3.5708139735,24.7,2.0304568528,NA,32.475884244,10.95890411,17.024128686,81932,17401,4.7084650307,1251,5261,23.778749287,22,8.5083343002,86,330.43879198,141,108.87190178,NA,NA,NA,NA,NA,11.4,"No",13,11.152073733,1.5,0.5,83.114465929,NA,NA,NA,NA,NA,9671,46.1
"12","01021","Alabama","Chilton","Chilton",829,10019.3128,NA,NA,10386.238677,NA,10549.629977,21.185462911,4.7733822963,4.8532441372,NA,8.6979166667,NA,NA,16.028708134,6.6371681416,8.0722070845,20.188979064,37.7,8.1,33.2,46.293792819,14.509374576,13,81,16.049382716,156,354,46.808510638,NA,NA,33.820840951,54.658385093,48.214533834,5015,13.759705874,9,20.42345,"4896:1",13,29.44307,"3396:1",23,52.09159,"1920:1",6148,NA,NA,8835,NA,5906,39,NA,NA,51,NA,38,42,NA,NA,33,20,42,602,88.205980066,4564,11437,39.905569642,703,19476,3.6095707537,23.3,NA,NA,32.638888889,33.163636364,20.842901526,90324,17684,5.1076679484,3672,10526,34.885046551,67,15.204120998,223,507.81072095,207,94.075942464,NA,NA,95.560767961,NA,99.916362146,11.2,"No",13.29723225,10.660606061,2.8880866426,0.8122743682,83.564828268,NA,NA,75.776965265,NA,84.04862317,17207,50.3
