"","FIPS","State","Region","County","Life Expectancy","Life Expectancy (AIAN)","Life Expectancy (Asian)","Life Expectancy (Black)","Life Expectancy (Hispanic)","Life Expectancy (White)","# Deaths...22","Age-Adjusted Death Rate","Age-Adjusted Mortality (AIAN)","Age-Adjusted Mortality (Asian)","Age-Adjusted Mortality (Black)","Age-Adjusted Mortality (Hispanic)","Age-Adjusted Mortality (White)","# Deaths...41","Child Mortality Rate","Child Mortality Rate (AIAN)","Child Mortality Rate (Asian)","Child Mortality Rate (Black)","Child Mortality Rate (Hispanic)","Child Mortality Rate (White)","# Deaths...60","Infant Mortality Rate","Infant Mortality Rate (AIAN)","Infant Mortality Rate (Asian)","Infant Mortality Rate (Black)","Infant Mortality Rate (Hispanic)","Infant Mortality Rate (White)","% Frequent Physical Distress","% Frequent Mental Distress","% Adults with Diabetes","# HIV Cases","HIV Prevalence Rate","# Food Insecure","% Food Insecure","# Limited Access","% Limited Access to Healthy Foods","# Drug Overdose Deaths","Drug Overdose Mortality Rate","Drug Overdose Mortality Rate (AIAN)","Drug Overdose Mortality Rate (Asian)","Drug Overdose Mortality Rate (Black)","Drug Overdose Mortality Rate (Hispanic)","Drug Overdose Mortality Rate (White)","# Motor Vehicle Deaths","Motor Vehicle Mortality Rate","MV Mortality Rate (AIAN)","MV Mortality Rate (Asian)","MV Mortality Rate (Black)","MV Mortality Rate (Hispanic)","MV Mortality Rate (White)","% Insufficient Sleep","# Uninsured...135","% Uninsured...136","# Uninsured...139","% Uninsured...140","Other Primary Care Provider Rate","Other Primary Care Provider Ratio","% Disconnected Youth","Average Grade Performance...148","Average Grade Performance (Asian)...149","Average Grade Performance (Black)...150","Average Grade Performance (Hispanic)...151","Average Grade Performance (White)...152","Average Grade Performance...153","Average Grade Performance (Asian)...154","Average Grade Performance (Black)...155","Average Grade Performance (Hispanic)...156","Average Grade Performance (White)...157","Median Household Income","Household Income (AIAN)","Household Income (Asian)","Household Income (Black)","Household Income (Hispanic)","Household Income (White)","% Enrolled in Free or Reduced Lunch","Segregation index","Segregation Index","Homicide Rate","Homicide Rate (AIAN)","Homicide Rate (Asian)","Homicide Rate (Black)","Homicide Rate (Hispanic)","Homicide Rate (White)","# Deaths...197","Suicide Rate (Age-Adjusted)","Crude Rate","Suicide Rate (AIAN)","Suicide Rate (Asian)","Suicide Rate (Black)","Suicide Rate (Hispanic)","Suicide Rate (White)","# Firearm Fatalities","Firearm Fatalities Rate","Firearm Fatalities Rate (AIAN)","Firearm Fatalities Rate (Asian)","Firearm Fatalities Rate (Black)","Firearm Fatalities Rate (Hispanic)","Firearm Fatalities Rate (White)","Non-Petitioned Cases","Petitioned Cases","Denominator","Juvenile Arrest Rate","Average Traffic Volume per Meter of Major Roadways","# Homeowners","% Homeowners","# Households with Severe Cost Burden","% Severe Housing Cost Burden","Population","% less than 18 years of age","% 65 and over","# Black","% Black","# American Indian & Alaska Native","% American Indian & Alaska Native","# Asian","% Asian","# Native Hawaiian/Other Pacific Islander","% Native Hawaiian/Other Pacific Islander","# Hispanic","% Hispanic","# Non-Hispanic White","% Non-Hispanic White","# Not Proficient in English","% Not Proficient in English","% Female","# Rural","% Rural"
"1","01000","Alabama","",NA,"75.416194148000002",NA,NA,NA,NA,NA,"81791","474.78234901000002",NA,NA,NA,NA,NA,"3048","69.499675303000004",NA,NA,NA,NA,NA,"3411","8.3655636026",NA,NA,NA,NA,NA,"15.826859661","15.826633819","14.2","12643","309.89999999999998","795760","16.3","378623.20017000003","7.9214249525999998","2366","16.176762374999999",NA,NA,NA,NA,NA,"6679","19.649886043999999",NA,NA,NA,NA,NA,"37.720954593000002","407278","14.089709909","34350","3.0320015182","86.02928","1162:1","8.3700186692000003","2.9647452682000002",NA,NA,NA,NA,"2.7768351137999998",NA,NA,NA,NA,"49881",NA,NA,NA,NA,NA,"55.874153026000002","56.653988147","50.777775904999999","9.9264434068000007",NA,NA,NA,NA,NA,"3910","15.638259688","16.067872006000002",NA,NA,NA,NA,NA,"5007","20.575916915000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"166.00847228000001","1275223","68.550462326000002","223063","12.653816743","4887871","22.296824118","16.917263160000001","1295175","26.497732857999999","34375","0.7032714243","73167","1.4969093905999999","5207","0.106528998","217181","4.4432637441000002","3197324","65.413428464000006","48517","1.0610479262000001","51.633032049999997","1957932","40.963182904"
"2","01001","Alabama","Autauga","Autauga","76.879477171999994",NA,NA,"75.044708358999998",NA,"76.985869559999998","791","417.54755051000001",NA,NA,"520.72440709",NA,"407.33616410000002","30","55.922156358000002",NA,NA,"93.204541602999996",NA,"49.171842650000002","35","7.9401088928999997",NA,NA,NA,NA,NA,"13.685228616","14.129346649","11.1","101","219.1","7270","13.2","6543.6768239000003","11.991125","18","10.809447456999999",NA,NA,NA,NA,NA,"75","19.328751131000001",NA,NA,"18.717828732000001",NA,"19.622238084999999","35.905406063999997","3761","11.14898915","372","2.6691540504","39.567630000000001","2527:1",NA,"2.9595862779000002",NA,"2.5914686709999999","3.019144431","3.0791532624000002","2.8026991865999999",NA,"2.4351706203000001","2.5275983100000001","2.9116025185000001","59338",NA,NA,"27643","83423","65047","43.408673082999996","24.619137860999999","23.628395199","4.8966169530999997",NA,NA,NA,NA,NA,"53","18.145295478000001","19.115424704999999",NA,NA,NA,NA,NA,"45","16.23007758",NA,NA,NA,NA,NA,"9","59","6400","10.625","88.457040415999998","15814","74.894624673999999","2726","13.403481168000001","55601","23.674034639999999","15.562669736","10755","19.343177280999999","267","0.48020719049999999","681","1.2247981151","62","0.1115087858","1649","2.9657739968999999","41316","74.308016042999995","426","0.82022450280000003","51.448714950999999","22921","42.002162321"
"3","01003","Alabama","Baldwin","Baldwin","78.450258367999993",NA,"85.658204409000007","75.728780033999996","91.830606961000001","78.366768820999994","2967","353.34311051999998",NA,NA,"486.67434055000001","165.66463768","352.34376263000001","87","47.381749857000003",NA,NA,"60.235381336000003",NA,"48.777768487000003","87","5.5467006693999998",NA,NA,"9.3720712276999993",NA,"5.3594215227999999","12.480107671000001","13.475335558999999","10.7","292","166.5","23560","11.6","9886.8311369999992","5.4244265970000001","87","13.610486645",NA,NA,NA,NA,NA,"226","15.811238992",NA,NA,"14.003537736",NA,"16.724328155999999","33.305868140999998","17590","14.348524769000001","1714","3.538763291","55.957659999999997","1787:1","8.4767945233000006","3.0056417475999999","3.0628924839999998","2.5893111518","2.37748062","3.1422013307999999","2.8606962275000001","3.2646328993","2.3781078672999998","2.4595068191","3.0046230380000001","57588","53289","34763","31112","43279","59418","48.486564721999997","41.271762768000002","31.825343231000002","3.0083330826000001",NA,NA,NA,NA,NA,"207","19.377510546","19.84596844",NA,NA,NA,NA,NA,"147","14.09351382",NA,NA,NA,NA,NA,"131","440","21800","26.192660549999999","86.997429882000006","57881","73.619343185999995","8813","11.725807954","218022","21.607911128000001","20.443349754","19151","8.7839759290000003","1684","0.77239911569999997","2508","1.150342626","146","6.6965719100000001E-2","10131","4.6467787653999997","181201","83.111337387999995","1068","0.54351698240000001","51.538376861000003","77060","42.279099113999997"
"4","01005","Alabama","Barbour","Barbour","75.341934929999994",NA,NA,"73.657375490000007",NA,"76.930717216000005","472","497.35006208999999",NA,NA,"571.85407888999998",NA,"444.97467182999998","16","74.225273705999996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.184897503999998","16.586252209000001","17.600000000000001","92","420.6","5760","22","2948.7902509999999","10.739666572999999",NA,NA,NA,NA,NA,NA,NA,"42","22.854779642",NA,NA,"28.343385786999999",NA,"16.342921180000001","38.563167125","1994","16.085834139999999","155","2.9135338345999999","52.248699999999999","1914:1","13.339301701","2.660388191",NA,"2.4736729306999998","2.5748270923000001","3.2072401564000002","2.4432710052000002",NA,"2.2303166531","2.5717127705","2.8792039312000002","34382",NA,"50417","23013","30417","47031","63.292302038999999","25.039132348999999","23.449712509000001","7.6182598806000001",NA,NA,NA,NA,NA,"18","12.836103622","13.900472616",NA,NA,NA,NA,NA,"23","17.761715009",NA,NA,"17.621145374000001",NA,"19.894888672","0","36","2400","15","102.29176221","5640","61.397779229000001","1190","14.059546314","24881","20.867328484000002","19.420441301","11951","48.032635343999999","164","0.65913749450000003","113","0.45416181020000002","46","0.18488002889999999","1064","4.2763554519999998","11356","45.641252360999999","398","1.6316825188999999","47.216751737999999","18613","67.789634702000001"
"5","01007","Alabama","Bibb","Bibb","73.571820278999994",NA,NA,"72.887469468999996",NA,"73.273065938000002","471","589.04111680999995",NA,NA,"644.03034471000001",NA,"600.99618849000001","16","85.800085800000005",NA,NA,NA,NA,NA,"21","12.244897958999999",NA,NA,NA,NA,NA,"13.626575493000001","14.017536353000001","14.5","38","196.8","3240","14.3","596.16282880999995","2.6016270076999999","19","28.060433312000001",NA,NA,NA,NA,NA,"41","25.964321222999999",NA,NA,"40.141067178999997",NA,"22.815230434","38.148865399999998","1612","13","125","2.6178010470999999","111.60714000000002","896:1",NA,"2.6286882509999998",NA,"2.1826023711000002",NA,"2.7414173869999998","2.3813078544000001",NA,"2.0005001393000001",NA,"2.5427438729","46064",NA,NA,"34000","42708","50769","61.562115620999997","52.603794239999999","52.600205502000001","8.2325896561",NA,NA,NA,NA,NA,"23","20.858766218","20.390070922",NA,NA,NA,NA,NA,"27","23.936170213",NA,NA,NA,NA,NA,"1-4","83","2200",NA,"29.335580011000001","5135","75.073099415000001","638","9.8868743220000006","22400","20.477678570999998","16.473214286000001","4731","21.120535713999999","98","0.4375","53","0.23660714290000001","26","0.1160714286","588","2.625","16708","74.589285713999999","57","0.26821005079999999","46.78125","15663","68.352607461999995"
"6","01009","Alabama","Blount","Blount","74.145825896999995",NA,NA,NA,NA,NA,"1085","515.61182276",NA,NA,NA,"189.09002092","536.47365542","45","83.798882681999999",NA,NA,NA,NA,NA,"32","6.8419927304000003",NA,NA,NA,NA,NA,"14.523164345","14.859270834","17","48","99.8","6140","10.7","1650.9594817","2.8801498232","42","24.199542513000001",NA,NA,NA,NA,NA,"116","28.666961573999998",NA,NA,NA,NA,NA,"35.945010418999999","5815","17.082341882000001","574","4.0772837051000002","22.4758","4449:1","18.941594063","3.0254073651",NA,NA,"2.7887462642999998","3.0962495053999999","2.8493388978",NA,NA,"2.6201846033999998","2.9015869249000001","50412","65385","99219",NA,"35495","49872","52.906287069999998","48.214822884","17.694494741","6.4253534561999999",NA,NA,NA,NA,NA,"50","17.062627954","17.304091725999999",NA,NA,NA,NA,NA,"58","20.072746402",NA,NA,NA,NA,NA,"7","40","6300","7.4603174602999998","33.411781963000003","16197","78.626213591999999","1630","8.4622572942000005","57840","23.153526971000002","18.236514523","846","1.4626556017000001","378","0.65352697100000001","185","0.3198478562","70","0.12102351309999999","5536","9.5712309819999994","50255","86.886237898000005","934","1.7245199409","50.726141079000001","51562","89.951502040999998"
"7","01011","Alabama","Bullock","Bullock","73.530894789000001",NA,NA,"71.632464624999997",NA,"77.075207860000006","203","562.24752994999994",NA,NA,"650.37686697000004",NA,"413.90931376999998","13","149.61445506000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.880968518","15.854776019999999","23.7","56","632.9","2600","24.8","2154.7892998000002","19.743350741",NA,NA,NA,NA,NA,NA,NA,"35","47.695620179000002",NA,NA,NA,NA,NA,"45.020635869000003","759","15.240963855","49","2.2854477611999999","88.774910000000006","1126:1",NA,"2.4859163460000002",NA,NA,NA,NA,"2.1548306495",NA,NA,NA,NA,"29267",NA,NA,"21875",NA,"63636","75.786593706999994","31.846481475000001","30.618760426000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","21.044978859",NA,NA,NA,NA,NA,"0","16","900","17.777777778000001","4.0665381995000001","2726","75.53338875","605","18.501529051999999","10138","21.079108304999998","16.383902150000001","7050","69.540343262999997","85","0.83842967049999995","19","0.1874136911","76","0.7496547643","807","7.9601499310000001","2151","21.217202604000001","43","0.4407544075","45.482343657999998","5607","51.374381528000001"
"8","01013","Alabama","Butler","Butler","72.918309203000007",NA,NA,"71.450268334",NA,"73.950029960999998","423","609.16970743000002",NA,NA,"717.45454901000005",NA,"546.09492878000003","18","98.194315639999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.696707392","16.915363871","19.2","52","311","4160","20.6","612.93476079000004","2.9261219305999999",NA,NA,NA,NA,NA,NA,NA,"42","29.887920299000001",NA,NA,"27.30221951",NA,"33.568762253000003","41.911083900999998","1648","14.505765338","123","2.6594594594999998","71.138210000000001","1406:1",NA,"2.74187666",NA,"2.3767699579000001",NA,"3.2640015728999998","2.6480209873999998",NA,"2.4238538453",NA,"3.0541734052999998","37365",NA,"96618","26260","8558","49094","79.157138189999998","38.011215614000001","37.511848047999997","19.213663049000001",NA,NA,NA,NA,NA,"10","9.2341684139000009","10.00470221",NA,NA,NA,NA,NA,"24","24.011285304000001",NA,NA,NA,NA,NA,"0","5","2100","2.3809523810000002","19.311067904000002","4692","69.946332737000006","711","11.545956479000001","19680","22.245934959","20.299796747999999","8769","44.557926829000003","74","0.37601626020000001","259","1.3160569106","10","5.0813008100000001E-2","297","1.5091463414999999","10087","51.255081300999997","93","0.49415515409999999","53.429878049000003","14921","71.232157349999994"
"9","01015","Alabama","Calhoun","Calhoun","73.039108584999994",NA,NA,"73.133935195000007","107.30393379","72.591977274000001","2373","574.56384162999996",NA,NA,"567.18583850000005",NA,"596.66709508999998","66","65.813090822000007",NA,NA,"106.1821614",NA,"55.432372506","74","8.0260303688000008",NA,NA,"14.052411698",NA,"5.9880239520999998","14.754401290000001","15.191507387","17.5","220","226.3","18100","15.7","10883.209969","9.1785665830000003","63","18.334419817000001",NA,NA,NA,NA,NA,"156","19.278680744999999",NA,NA,"15.694845696",NA,"21.150308190000001","41.314343981999997","10466","15.388687124","628","2.4385508483999998","56.004269999999998","1786:1","6.6911529862999997","3.0776438043000001",NA,"2.6981952468000001","2.8775136051999999","3.2504273252","2.9464543432000001",NA,"2.4821454855999998","2.9231115910000001","3.1411797932000001","45400","51333","38750","28478","36766","51481","58.837593214999998","44.542304123999998","40.681182870000001","9.7629216593999999",NA,NA,"19.182589185000001",NA,"7.5536814965000003","118","19.843747845999999","20.516315686999999",NA,NA,"10.53093992",NA,"23.113043701999999","152","26.427796478000001",NA,NA,"27.728166108",NA,"27.21867722","193","243","11700","37.264957265","109.89916307999999","31286","69.473497213000002","5024","11.722432218","114277","21.609772745000001","17.717475958000001","23827","20.850214828999999","617","0.53991616860000002","1102","0.96432352970000002","126","0.11025840720000001","4469","3.9106731888000001","82308","72.024991905999997","1076","0.99137613329999996","51.946585927000001","39955","33.696825556999997"
"10","01017","Alabama","Chambers","Chambers","74.291076031000003",NA,NA,"75.980967122999999",NA,"73.170160453999998","654","511.62651724",NA,NA,"461.97713403",NA,"553.54157525999995","25","87.568741462000006",NA,NA,"99.938499385",NA,"71.658903619","22","8.1061164333000004",NA,NA,NA,NA,NA,"15.247787307999999","15.496673080000001","19.899999999999999","111","387.7","6070","17.899999999999999","3533.9162159000002","10.328558280999999","10","9.8842553696",NA,NA,NA,NA,NA,"55","23.148537854000001",NA,NA,"18.009237679999998",NA,"27.348052006","37.266574787000003","3041","15.226316843999999","185","2.5387676684999998","14.874309999999999","6723:1","11.550733886","2.6140025703999998",NA,"2.4735809652",NA,"2.8697137700000002","2.3730307230999999",NA,"2.2149569191",NA,"2.5477798781000001","39917",NA,"71563","31185",NA,"48000","71.121351766999993","26.747861297","25.672844446999999","10.522062661",NA,NA,"14.831136913",NA,"8.1305019475999991","36","20.818126033999999","21.255240007000001",NA,NA,NA,NA,NA,"36","21.255240007000001",NA,NA,"14.788524105",NA,"27.163408798999999","1-4","81","3100",NA,"20.271586909","9159","67.764131399999997","1561","12.381027918999999","33615","20.800237988999999","19.521047152000001","13300","39.565670087999997","103","0.30641082850000001","446","1.3267886360000001","15","4.4622936199999998E-2","861","2.5613565373","18566","55.231295553000002","36","0.11293763330000001","52.125539193999998","16816","49.148034488"
