"","fips","state","county","lifeExpectancy","lifeExpectancyAIAN","lifeExpectancyAsian","lifeExpectancyBlack","lifeExpectancyHispanic","lifeExpectancyWhite","prematureDeathsAgeAdjusted","prematureDeathsAgeAdjustedRate","prematureDeathsAgeAdjustedAIAN","prematureDeathsAgeAdjustedAsian","prematureDeathsAgeAdjustedBlack","prematureDeathsAgeAdjustedHispanic)","prematureDeathsAgeAdjustedWhite","deathsChild","deathsChildRate","deathsChildRateAIAN","deathsChildRateAsian","deathsChildRateBlack","deathsChildRateHispanic","deathsChildRateWhite","deathsInfant","deathsInfantRate","deathsInfantRateAIAN","deathsInfantRateAsian","deathsInfantRateBlack","deathsInfantRateHispanic","deathsInfantRateWhite","freqPhysDistress%","freqMentDistress%","diabetesAdultPrevalence%","HIVCases","HIVCaseRate","foodInsecure","foodInsecure%","limitedAccessHealthyFood","limitedAccessHealthyFood%","drugOverdoseDeaths","drugOverdoseDeathsRate","drugOverdoseDeathsRateAIAN","drugOverdoseDeathsRateAsian","drugOverdoseDeathsRateBlack","drugOverdoseDeathsRateHispanic","drugOverdoseDeathsRateWhite","motorVehicleDeaths","motorVehicleDeathsRate","motorVehicleDeathsRateAIAN","motorVehicleDeathsRateAsian","motorVehicleDeathsRateBlack","motorVehicleDeathsRateHispanic","motorVehicleDeathsRateWhite","insufficientSleep%","uninsuredAdults","uninsuredAdults%","uninsuredChildren","uninsuredChildren%","otherPrimCareProvRate","otherPrimCareProvRatio","disconnectedYouth%","readingAveragePerf","readingAveragePerfAsian","readingAveragePerfBlack","readingAveragePerfHispanic","readingAveragePerfWhite","mathAveragePerf","mathAveragePerfAsian","mathAveragePerfBlack","mathAveragePerfHispanic","mathAveragePerfWhite","medianHouseholdIncome","medianHouseholdIncomeAIAN","medianHouseholdIncomeAsian","medianHouseholdIncomeBlack","medianHouseholdIncomeHispanic","medianHouseholdIncomeWhite","childrenFreeLunch%","segregationIndexBlackWhite","segregationIndexWhitenonWhite","homicideRate","homicideRateAIAN","homicideRateAsian","homicideRateBlack","homicideRateHispanic","homicideRateWhite","suicides","suicideRateAgeAdjusted","suicideCrudeRate","suicideCrudeRateAIAN","suicideCrudeRateAsian","suicideCrudeRateBlack","suicideCrudeRateHispanic","suicideCrudeRateWhite","firearmFatalities","firearmFatalitiesRate","firearmFatalitiesAIAN","firearmFatalitiesAsian","firearmFatalitiesBlack","firearmFatalitiesHispanic","firearmFatalitiesWhite","juvenileArrestsNonPetitioned","juvenileArrestsPetitioned","juvenileArrestsDenominator","juvenileArrestsRate","trafficVolume","homeowners","homeowners%","severeCostBurden","severeCostBurden%","Population","Population%lt18","Population%65andover","Population#Black","Population%Black","Population#AmericanIndian&AlaskaNative","Population%AmericanIndian&AlaskaNative","Population#Asian","Population%Asian","Population# Native Hawaiian/Other Pacific Islander","Population%Native Hawaiian/Other Pacific Islander","Population#Hispanic","Population%Hispanic","Population#Non-Hispanic White","Population%Non-Hispanic White","Population#NotEnglishProficient","Population%NotEnglishProficient","Population%Female","Population#Rural","Population%Rural"
"1","17000","Illinois",NA,79.254156688,NA,NA,NA,NA,NA,143465,329.10960316,NA,NA,NA,NA,NA,6012,51.652888124,NA,NA,NA,NA,NA,6806,6.2769995831,NA,NA,NA,NA,NA,10.660080798,10.950224552,9.9,35728,332.3,1395970,10.9,573011.9883,4.4659685376,7911,20.63130489,NA,NA,NA,NA,NA,7660,8.5260215123,NA,NA,NA,NA,NA,32.236921593,758796,9.7674767056,88404,2.9417118191,82.38705,"1214:1",6.355112302,3.0620741285,NA,NA,NA,NA,2.9175229147,NA,NA,NA,NA,65063,NA,NA,NA,NA,NA,49.387559227,71.215077331,53.432743507,7.1881262306,NA,NA,NA,NA,NA,7129,10.790703291,11.124250387,NA,NA,NA,NA,NA,6814,10.632717371,NA,NA,NA,NA,NA,NA,"10963",1333400,8.2218389081,508.45567267,3189035,66.025049906,694086,14.806154075,12741080,22.42561855,15.64200994,1791197,14.058439316,75567,0.5930972885,748722,5.8764406157,8445,0.0662816653,2214142,17.377977377,7773275,61.009545502,512830,4.2577798737,50.860515749,1477079,11.512129722
"2","17001","Illinois","Adams",78.288202676,NA,NA,76.14864105,NA,78.207418042,895,365.58197045,NA,NA,606.73218305,NA,363.96503781,37,61.705746973,NA,NA,NA,NA,NA,38,6.7808708066,NA,NA,NA,NA,NA,10.522738206,11.814463313,11,47,84.3,7380,11.1,2127.8481247,3.171017875,29,14.609350992,NA,NA,NA,NA,NA,52,11.138934647,NA,NA,NA,NA,NA,28.811509914,2404,6.4146009553,362,2.3547778573,124.82684,"801:1",8.5253456221,2.7930944819,NA,2.34925862,NA,2.8469298406,2.6440054252,NA,2.1972595773,NA,2.6986328318,55174,28808,59667,30337,67452,52575,53.601993284,52.177794828,41.650392317,3.213154225,NA,NA,NA,NA,NA,58,18.040906242,17.443399177,NA,NA,NA,NA,NA,33,9.9246926353,NA,NA,NA,NA,NA,NA,"62",6700,9.2537313433,98.741377982,19566,71.67032967,2612,9.8169654602,65691,22.497754639,20.231081883,2472,3.763072567,187,0.2846660882,649,0.9879587767,21,0.0319678495,1091,1.6608058943,60140,91.549831788,118,0.1893848203,50.818224719,21875,32.599138638
"3","17003","Illinois","Alexander",74.445441538,NA,NA,73.365577182,NA,74.634414494,140,529.49601662,NA,NA,582.55478291,NA,522.30369062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.837398791,15.422464643,7.9,19,354.9,1500,22.2,1030.380811,12.507657331,NA,NA,NA,NA,NA,NA,NA,11,22.679477135,NA,NA,NA,NA,NA,36.432940748,285,8.2465277778,29,1.9476158496,49.50495,"2020:1",NA,2.2090633847,NA,2.2309748714,NA,2.2361792369,2.3619588164,NA,2.3370797758,NA,2.3465674034,35249,NA,NA,24976,NA,39602,91.54589372,60.031886988,60.0489857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",700,0,66.108530698,1656,71.287128713,350,15.521064302,6060,23.069306931,21.914191419,1937,31.96369637,28,0.4620462046,18,0.297029703,10,0.1650165017,110,1.8151815182,3830,63.201320132,6,0.0988142292,51.617161716,5096,61.859674678
"4","17005","Illinois","Bond",78.646101727,NA,NA,NA,NA,NA,214,347.98842127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.869628654,11.975197898,4.3,9,61.6,1890,11.1,482.17474453,2.713725487,12,23.808579025,NA,NA,NA,NA,NA,26,21.714619785,NA,NA,NA,NA,NA,31.004162106,708,7.9141515761,105,3.1175771971,72.15875,"1386:1",NA,2.9764857028,NA,NA,NA,NA,3.0579434327,NA,NA,NA,NA,54800,NA,NA,NA,NA,NA,46.548672566,51.010363874,39.549789883,NA,NA,NA,NA,NA,NA,10,11.240787512,11.817397573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",1600,7.5,34.318511644,4818,77.484721775,449,7.4945751961,16630,19.446782922,18.556825015,997,5.9951894167,113,0.6794948888,134,0.8057726999,4,0.0240529164,601,3.6139506915,14584,87.696933253,33,0.2070003764,48.015634396,10792,60.738406123
"5","17007","Illinois","Boone",79.456425254,NA,NA,NA,85.109820373,78.831243923,586,314.91769055,NA,NA,NA,181.45373297,333.93292421,15,27.636015255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.476349967,11.325513112,9.6,33,74.5,4140,7.7,2607.2749375,4.813578764,33,20.548840859,NA,NA,NA,NA,NA,42,11.171876662,NA,NA,NA,NA,NA,30.909315514,2952,9.2815595032,480,3.4020837763,16.79825,"5953:1",NA,2.8353161581,NA,NA,2.5708421734,2.9931037164,2.6803730734,NA,NA,2.4109086214,2.8849864585,74507,NA,NA,72077,63281,68466,43.233433579,26.34336581,15.102212282,NA,NA,NA,NA,NA,NA,20,7.4197777826,7.4613780419,NA,NA,NA,NA,NA,13,4.8498957272,NA,NA,NA,NA,NA,NA,"79",7000,11.285714286,93.613679915,14947,79.798195505,2028,11.051771117,53577,24.792354928,15.835153144,1291,2.4096160666,416,0.7764525823,822,1.534240439,51,0.0951901002,12005,22.407003005,38658,72.154095974,1828,3.6166508389,50.006532654,10488,19.363057325
"6","17009","Illinois","Brown",77.898723255,NA,NA,NA,NA,NA,77,361.86834356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31640435,10.811543391,4.6,9,150.3,740,10.9,905.91503158,13.059175891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.846031249,120,4.3907793633,17,1.6175071361,45.75961,"2185:1",NA,2.7186187213,NA,NA,NA,NA,2.2856380631,NA,NA,NA,NA,55327,NA,NA,NA,NA,NA,84.520547945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-4",500,NA,60.173422298,1584,75.898418783,84,4.1604754829,6556,15.878584503,13.926174497,1212,18.486882245,84,1.2812690665,22,0.3355704698,2,0.0305064063,437,6.6656497865,4833,73.718730933,47,0.734375,35.250152532,2849,41.06962664
"7","17011","Illinois","Bureau",78.629183337,NA,NA,NA,84.310304769,78.637855547,487,370.37586137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.524264661,11.68148322,11.1,24,84.6,3150,9.4,3726.8840085,10.654937413,12,12.04879763,NA,NA,NA,NA,NA,46,19.541123445,NA,NA,NA,NA,NA,31.140078005,1391,7.3523970612,210,2.8135048232,69.71176,"1434:1",7.2359843546,2.9374129745,NA,NA,2.6316192019,3.0134884439,2.8610342704,NA,NA,2.6083770669,2.9268511145,56099,NA,54519,14375,56875,55910,50.214676034,NA,42.450744733,NA,NA,NA,NA,NA,NA,26,16.237539126,15.566811558,NA,NA,NA,NA,NA,16,9.5795763432,NA,NA,NA,NA,NA,NA,"0",3500,0,69.918944719,10539,76.341905107,1241,9.2708800239,32993,21.453035492,21.916770224,260,0.7880459491,156,0.4728275695,334,1.0123359501,15,0.0454641894,3122,9.4626132816,28830,87.382171976,400,1.2642225032,50.901706423,20074,57.390359655
"8","17013","Illinois","Calhoun",83.309100944,NA,NA,NA,NA,NA,40,181.76881809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.107721261,11.583344344,8.2,NA,NA,500,10.2,218.72792857,4.298053224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.197700867,194,7.0673952641,33,3.1791907514,41.64931,"2401:1",NA,3.2821177364,NA,NA,NA,NA,3.772182139,NA,NA,NA,NA,56099,NA,NA,NA,NA,NA,42.367066895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-4",500,NA,4.2839031109,1516,83.988919668,190,11.078717201,4802,20.637234486,23.344439817,19,0.3956684715,13,0.2707205331,13,0.2707205331,1,0.0208246564,61,1.27030404,4671,97.271970012,1,0.0217202433,50.166597251,5089,100
"9","17015","Illinois","Carroll",79.377607098,NA,NA,NA,NA,NA,220,346.9951559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9984647304,11.339927945,8.3,5,39.6,1430,9.7,968.07244566,6.291495715,NA,NA,NA,NA,NA,NA,NA,24,23.387026047,NA,NA,NA,NA,NA,28.003307666,676,8.4205281515,92,3.0955585464,13.97429,"7156:1",NA,3.0931761399,NA,NA,NA,NA,3.3563679015,NA,NA,NA,NA,51963,NA,NA,11875,47396,51724,41.862567812,NA,27.330486183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",1400,7.8571428571,59.027074692,4937,76.235330451,556,8.9259913309,14312,19.375349357,25.510061487,149,1.0410844047,64,0.447177194,78,0.5449972051,3,0.020961431,553,3.8638904416,13312,93.012856344,53,0.3842807425,50.132755729,12598,81.874309482
"10","17017","Illinois","Cass",77.448984362,NA,NA,NA,97.311336264,77.021671084,173,393.92800984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.005910301,12.03405098,6.8,NA,NA,1110,8.6,396.03319414,2.9030434991,NA,NA,NA,NA,NA,NA,NA,19,21.086276164,NA,NA,NA,NA,NA,30.724969836,767,10.462419861,118,3.8163001294,65.25285,"1533:1",13.439306358,2.4983333481,NA,NA,2.0605644227,2.8210083889,2.3888198208,NA,NA,1.9974998506,2.6541863215,52486,NA,NA,39669,39208,54675,64.471403813,35.538754719,34.935544477,NA,NA,NA,NA,NA,NA,11,18.285577526,17.338124961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",1400,19.285714286,31.347975173,3751,74.661624204,323,6.6763125258,12260,23.800978793,17.846655791,451,3.67862969,85,0.6933115824,81,0.660685155,17,0.1386623165,2359,19.241435563,9248,75.432300163,730,6.1629379485,49.494290375,7112,52.133118311
